Вопрос;Эталонный ответ преподавателя;Ответ студента;Оценка
Какие проблемы возникают при использовании data lakes?;Data lakes используется для обработки больших объёмов информации, оптимизации бизнес?процессов и повышения качества аналитики. Сферы применения: финансы, медицина, промышленность, телекоммуникации.;Data lakes используется бизнесом для оптимизации процессов, анализа клиентов и прогнозирования.;4
Что такое Edge AI и какие вызовы оно решает по сравнению с cloud AI?;Выполнение AI моделей на edge устройствах вместо облака. Решает проблемы latency, bandwidth, privacy, offline работы в IoT, мобильных и embedded системах.;Работа AI моделей непосредственно на устройствах. Решает проблемы скорости, приватности и зависимости от интернета в сравнении с облачными решениями.;3
Что такое dropout в нейросетях?;Метод регуляризации, при котором случайно выбранные нейроны игнорируются во время обучения для предотвращения переобучения.;Регуляризация через случайное отключение нейронов при обучении. Улучшает обобщающую способность сети.;4
Основные вызовы больших данных;Volume, Velocity, Variety, Veracity - основные характеристики и challenges больших данных;Volume, Velocity, Variety, Veracity представляют основные вызовы больших данных;5
Что такое XGBoost?;Библиотека для градиентного бустинга с оптимизацией производительности и регуляризацией.;Алгоритм градиентного бустинга с оптимизациями для скорости и качества. Использует деревья решений с регуляризацией и эффективной обработкой пропусков.;5
Что такое Apache Kafka и для каких задач он используется?;Распределенная потоковая платформа для обработки данных в реальном времени. Используется для построения data pipelines, event-driven архитектур, streaming приложений.;Технология для обработки данных в реальном времени.;2
Что такое data locality в Hadoop?;Принцип обработки данных на том же узле где они хранятся для уменьшения сетевого трафика;Принцип оптимизации в Hadoop;2
Как выбрать между колоночным и строчным хранением данных для аналитических нагрузок?;Колоночное хранилище лучше для аналитических запросов с агрегациями по немногим колонкам, строчное - для OLTP с операциями над целыми строками. Использовать колоночные форматы (Parquet, ORC) для data warehousing.;Колоночные форматы эффективны когда запросы затрагивают несколько колонок, так как читаются только нужные данные. Строчные лучше для операций со всеми полями записи. Для аналитики обычно выбирают колоночное хранение.;5
Основные вызовы больших данных;Основные вызовы больших данных включают объем (Volume), скорость (Velocity), разнообразие (Variety) и достоверность (Veracity) данных;Вызовы: Volume, Velocity, Variety, Veracity;4
Какие риски связаны с применением data warehouses?;Технологии data warehouses позволяют работать с данными высокой скорости, разнообразия и объёма. Это улучшает прогнозирование, принятие решений и автоматизацию.;Data warehouses используется для обработки информации и улучшения решений.;3
Охарактеризовать конструкции языка R;R похож на Python, но со своими особенностями.;R нужен для работы с числами.;3
Основные вызовы больших данных;Ключевые вызовы включают объем (Volume), скорость (Velocity), разнообразие (Variety) и достоверность (Veracity) данных, требующие специальных подходов к обработке;Volume - терабайты данных, Velocity - потоковая обработка, Variety - структурированные и неструктурированные данные, Veracity - надежность и качество данных;4
Какие основные инструменты и технологии используются для работы с классификация данных?;Классификация данных используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.;Классификация данных применяется в финансах, медицине, рекламе и производстве. Используется для анализа данных, построения моделей и прогнозирования.;4
Что такое процесс ETL и каковы его этапы?;ETL (Extract, Transform, Load) — это процесс извлечения данных из источников, их преобразования в нужный формат и загрузки в целевое хранилище. Он является ключевым в интеграции данных.;ETL — это метод обработки данных: взять, поменять и загрузить в хранилище.;5
Какие метрики используются для оценки моделей в задачах мультиклассовой классификации?;Для мультиклассовой классификации используются accuracy, macro/micro averaged precision/recall, F1-score и confusion matrix для детального анализа ошибок;Accuracy, precision, recall и F1-score для многоклассовых задач;4
Принципы и инструменты аналитики. Задачи и компетенции аналитиков Big Data;Принципы включают data-driven подход, итеративность, автоматизацию. Инструменты: Hadoop, Spark, NoSQL. Задачи: анализ паттернов, прогнозирование. Компетенции: статистика, программирование, доменные знания;Принципы, инструменты и навыки аналитиков;3
Зачем нужно уменьшение размерностей?;Уменьшение размерностей позволяет снизить вычислительную сложность, устранить мультиколлинеарность и улучшить интерпретируемость моделей;Уменьшение размерностей нужно для снижения вычислительной сложности;5
Векторы, матрицы, фреймы в R;Вектор - одномерный массив, матрица - двумерный, фрейм - таблица с разными типами данных;Векторы для одного типа, матрицы для чисел, фреймы для таблиц;3
Что такое Data Governance;Data Governance — это система управления доступностью, usability, integrity и безопасностью данных в организации через политики, стандарты и процессы.;Комплексная система управления корпоративными данными с политиками и стандартами;5
Что такое Data Lineage;Data Lineage — это отслеживание происхождения, перемещения и трансформации данных от источника до конечного использования, включая все промежуточные этапы.;Полное отслеживание жизненного цикла данных с трансформациями;5
Перечислите основные метрики больших графов.;Основные метрики: степень вершины (degree), средняя длина пути (L), кластерный коэффициент (C), центральность по посредничеству (betweenness), собственная центральность (eigenvector), плотность графа и диаметр.;Метрики графов включают степень вершины, центральности и диаметр, измеряющие структуру сети.;5
Достоинства и недостатки деревьев решений;"Достоинства: интерпретируемость, не требуют нормализации; недостатки: склонность к переобучению, нестабильность";Преимущества и ограничения деревьев решений;4
Метрики качества для компьютерного зрения;"Accuracy, Precision, Recall для классификации; mAP, IoU для детекции объектов; Dice coefficient для сегментации изображений";"Классификация: Accuracy, Precision, Recall; детекция: mAP, IoU; сегментация: Dice coefficient для оценки качества";5
Что такое Apache Arrow?;Формат in-memory для колоночного хранения данных с нулевой сериализацией для ускорения анализа.;Способ хранения данных в памяти для ускорения обработки. Используется в Big Data инструментах.;3
Как развитие компьютерное зрение влияет на будущее цифровых технологий?;Компьютерное зрение используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.;Используется компаниями для анализа клиентов, предсказания событий и оптимизации процессов.;4
Что такое recall и precision?;Precision - точность предсказаний, recall - полнота охвата реальных позитивных случаев.;Precision измеряет качество позитивных предсказаний, а recall - насколько хорошо модель находит все позитивные случаи.;4
Параметрическая модель статистического обучения;Модель с фиксированным числом параметров, заданная функциональной формой и распределением ошибок;Модель с параметрами для обучения;2
Что такое Apache Spark и в чем его преимущество перед Hadoop MapReduce?;Это фреймворк для распределенной обработки больших данных. Ключевое преимущество — выполнение операций в оперативной памяти (in-memory), что значительно ускоряет итерационные алгоритмы и интерактивную аналитику по сравнению с дисковыми операциями MapReduce.;Apache Spark — это распределенная вычислительная система, которая обрабатывает данные в оперативной памяти, что делает ее намного быстрее Hadoop MapReduce для итерационных задач и интерактивных запросов, так как избегает многократных обращений к диску.;5
Какие реальные примеры использования масштабируемые системы существуют?;Масштабируемые системы используется для обработки больших объёмов информации, оптимизации бизнес?процессов и повышения качества аналитики. Сферы применения: финансы, медицина, промышленность, телекоммуникации.;Технологии масштабируемые системы позволяют компаниям обрабатывать большие объёмы разнородных данных, выявлять сложные закономерности и принимать обоснованные решения.;5
Разновидности сложных сетей;Сети можно классифицировать на однородные, масштабно-инвариантные, малого мира и иерархические в зависимости от их структурных свойств;Однородные сети с равномерным распределением связей, масштабно-инвариантные со степенным распределением, сети малого мира с высокой кластеризацией и короткими путями, иерархические с модульной структурой;5
Алгоритмы выделения сообществ;Алгоритмы Louvain, Girvan-Newman, Label Propagation используются для обнаружения сообществ в сложных сетях на основе модульности и связности;Louvain использует жадную оптимизацию модульности, Girvan-Newman последовательно удаляет ребра с максимальной betweenness;4
Где применяется классификация данных в промышленности и бизнесе?;Классификация данных используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.;Используется компаниями для анализа клиентов, предсказания событий и оптимизации процессов.;5
Обучение с подкреплением и ансамбли;Обучение с подкреплением основано на взаимодействии со средой, ансамбли комбинируют несколько моделей;Два подхода в машинном обучении;2
Что такое Data Lineage;Data Lineage — это отслеживание происхождения, перемещения и трансформации данных от источника до конечного использования, включая все промежуточные этапы.;Отслеживание пути данных;3
Свойства эластичности и надёжности сложных сетей;"Эластичность - устойчивость к нагрузкам, надежность - отказоустойчивость; зависят от структуры и связности сети";Эластичность это устойчивость к нагрузкам, надежность к отказам;5
Алгоритмы классификации;Основные алгоритмы включают логистическую регрессию, деревья решений, случайный лес, метод опорных векторов и наивный байесовский классификатор;Линейные модели (Logistic Regression), tree-based (Decision Trees, Random Forest), instance-based (k-NN), probabilistic (Naive Bayes), kernel methods (SVM);4
Как работает механизм Attention в трансформерах и почему он революционен для NLP?;Взвешенная агрегация информации из всех позиций последовательности. Революционен благодаря ability улавливать long-range зависимости и параллелизации в отличие от RNN.;Механизм взвешивания важности разных частей входных данных. Революционен для NLP потому что позволяет обрабатывать длинные последовательности и учитывать глобальный контекст эффективнее RNN.;4
